,Close,High,Low,Open,Volume,Signal,EMA,MACD,Signal_Line,MACD_Hist
0,21306.0,21348.5,21289.0,21301.5,1470,0,21306.0,0.0,0.0,0.0
1,21334.5,21344.25,21242.5,21302.5,4369,0,21308.590909090908,2.2735042735075695,0.4547008547015139,1.8188034188060556
2,21352.5,21361.5,21317.75,21333.5,2149,0,21312.5826446281,5.464728370712692,1.4567063579037494,4.008022012808942
3,21358.25,21410.0,21344.0,21354.25,2405,0,21316.73422238918,8.361388522418565,2.837642790806713,5.523745731611852
4,21359.75,21374.75,21337.5,21359.25,1395,0,21320.644747626528,10.655223245008528,4.401158881647076,6.2540643633614525
5,21358.25,21369.75,21344.75,21358.5,1001,0,21324.063406933205,12.211302036270354,5.963187512571732,6.2481145236986215
6,21363.25,21371.75,21328.75,21358.25,1396,2,21327.62582448473,13.690152348099218,7.50858047967723,6.1815718684219885
7,21400.25,21402.75,21358.0,21364.0,1342,0,21334.228022258845,17.644349574198714,9.535734298581527,8.108615275617186
8,21415.5,21417.5,21387.75,21400.5,1563,0,21341.61638387168,21.757816351637302,11.980150709192683,9.777665642444619
9,21403.5,21424.75,21396.0,21416.25,1152,0,21347.24216715607,23.775400677528523,14.339200702859852,9.436199974668671
10,21401.5,21420.5,21396.0,21404.5,911,0,21352.174697414608,24.92564024137755,16.456488610563394,8.469151630814157
11,21405.75,21424.75,21397.5,21401.25,1014,2,21357.045179467827,25.881803543634305,18.341551597177578,7.540251946456728
12,21379.75,21422.0,21357.5,21405.75,2211,1,21359.10925406166,24.261910933793843,19.525623464500832,4.736287469293011
13,21367.75,21407.75,21366.0,21377.5,2002,0,21359.89477641969,21.759010331395984,19.972300837879864,1.7867094935161205
14,21331.75,21380.75,21320.5,21367.0,2556,0,21357.336160381536,16.678287519473088,19.31349817419851,-2.635210654725423
15,21363.0,21364.5,21312.5,21328.75,2080,0,21357.851054892304,15.000475772019854,18.45089369376278,-3.4504179217429254
16,21390.0,21403.25,21362.0,21362.5,2593,0,21360.77368626573,15.6688514596608,17.894485246942384,-2.225633787281584
17,21386.0,21390.25,21367.5,21388.75,1279,0,21363.0669875143,15.694856896305282,17.454559576814965,-1.7597026805096831
18,21365.25,21389.5,21356.0,21387.5,1473,0,21363.265443194818,13.88110210283412,16.7398680820188,-2.8587659791846782
19,21369.5,21380.0,21362.5,21364.75,925,0,21363.8322210862,12.64091128626751,15.920076722868542,-3.2791654366010317
20,21389.75,21392.0,21357.75,21368.75,1172,0,21366.188382805634,13.140580460909405,15.364177470476715,-2.2235970095673103
21,21389.75,21401.75,21383.5,21389.75,1117,0,21368.33034800512,13.382308954307518,14.967803767242877,-1.5854948129353588
22,21386.5,21392.75,21370.25,21390.75,1146,0,21369.98213455011,13.15993317045286,14.606229647884874,-1.4462964774320142
23,21390.75,21398.0,21382.25,21386.75,708,0,21371.870122318283,13.174767719621741,14.319937262232248,-1.1451695426105069
24,21398.5,21426.5,21387.0,21390.5,1963,0,21374.291020289347,13.654484044815035,14.186846618748806,-0.5323625739337707
25,21409.25,21411.75,21375.0,21398.25,1547,0,21377.46910935395,14.732273370311304,14.295931969061307,0.4363414012499973
26,21415.5,21416.75,21402.5,21409.75,1185,0,21380.926463049047,15.90738154988503,14.618221885226053,1.2891596646589782
27,21399.0,21422.5,21395.75,21415.5,994,1,21382.56951186277,15.330530333882052,14.760683574957254,0.5698467589247986
28,21425.5,21445.0,21401.0,21401.0,2475,0,21386.472283511608,16.8178345910419,15.172113778174184,1.645720812867717
29,21450.0,21454.25,21418.5,21425.25,2323,0,21392.247530465098,19.745861178947962,16.08686325832894,3.658997920619022
30,21457.5,21498.5,21441.25,21450.0,4690,0,21398.17957315009,22.413165643214597,17.352123735306073,5.061041907908525
31,21457.0,21487.0,21435.0,21457.5,3511,0,21403.526884681898,24.207627367148234,18.723224461674505,5.484402905473729
32,21466.0,21471.5,21426.5,21455.5,3921,2,21409.206258801725,26.055622992826102,20.189704167904825,5.865918824921277
33,21458.25,21475.5,21453.5,21466.0,3461,0,21413.66478072884,26.58831901872327,21.469427138068514,5.118891880654754
34,21438.25,21462.0,21430.0,21458.25,2667,0,21415.89980066258,25.107231072990544,22.196987925052923,2.9102431479376207
35,21434.5,21448.0,21421.0,21438.0,2872,0,21417.59072787507,23.361566943734942,22.429903728789327,0.9316632149456154
36,21436.75,21450.0,21424.75,21434.5,2274,0,21419.332479886427,21.907139868748345,22.325350956781133,-0.4182110880327876
37,21421.25,21443.25,21412.5,21424.5,6940,0,21419.50679989675,19.281510224598605,21.71658281034463,-2.435072585746024
38,21505.75,21523.25,21405.25,21421.25,35290,2,21427.347090815227,23.74540141252146,22.122346530779996,1.6230548817414636
39,21559.75,21575.75,21487.75,21506.75,24012,0,21439.383718922934,31.279841500923794,23.953845524808756,7.325995976115038
40,21625.25,21656.0,21561.0,21561.0,31929,0,21456.280653566304,42.051498647095286,27.573376149266064,14.478122497829222
41,21640.5,21663.5,21615.25,21624.25,20917,0,21473.02786687846,51.228136027748405,32.30432812496253,18.923807902785875
42,21661.25,21680.0,21620.25,21641.0,17794,0,21490.138969889507,59.48928342252839,37.74131918447571,21.74796423805268
43,21633.5,21666.0,21623.25,21660.75,13793,0,21503.171790808643,63.07007658456496,42.80707066449356,20.2630059200714
44,21657.75,21669.0,21634.5,21634.5,11176,0,21517.224355280585,67.09126693562575,47.66390991872,19.427357016905752
45,21683.75,21685.5,21640.5,21658.25,9916,0,21532.363050255077,71.55127342792912,52.441382620561825,19.109890807367293
